GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;265;36.01;CONSTITUTIVE;
SD;184;25.0;CONSTITUTIVE;
ALDE;84;11.41;CONSTITUTIVE;
GREENSEFA;55;7.47;CONSTITUTIVE;
ECR;54;7.34;CONSTITUTIVE;
GUENGL;35;4.76;CONSTITUTIVE;
EFD;32;4.35;CONSTITUTIVE;
NA;27;3.67;CONSTITUTIVE;
