pk-d--flex,pk-identifier,pk-identifier (2),ag-cell-value,ag-cell-value (2),ag-cell-value (3),ag-cell-value (4),ag-cell-value (5),ag-cell-value (6),ag-cell-value (7)
75,Antwerp,Belgium,2.500,8.000,4.000,2.500,6.000,23.000,9.760
76,Leicester,England,-,10.000,13.000,-,-,23.000,20.860
77,Sparta Praha,Czechia,2.000,4.000,5.000,1.500,10.000,22.500,7.210
78,Wolfsburg,Germany,12.000,2.500,8.000,-,-,22.500,17.324
79,Zenit,Russia,9.000,5.000,8.000,-,-,22.000,4.593
80,Mönchengladbach,Germany,6.000,15.000,-,-,-,21.000,17.324
81,Aston Villa,England,-,-,-,-,17.000,17.000,20.860
82,Brighton,England,-,-,-,-,16.000,16.000,20.860
83,Newcastle,England,-,-,-,-,8.000,8.000,20.860
84,Wolves,England,16.000,-,-,-,-,16.000,20.860
85,Sheriff,Moldova,2.000,2.000,9.000,4.000,3.000,20.000,2.625
86,Lech Poznań,Poland,-,3.000,-,14.000,2.000,19.000,5.075
87,Zorya Luhansk,Ukraine,2.500,4.000,5.000,2.000,5.000,18.500,5.600
88,Malmö,Sweden,8.000,2.500,5.000,3.000,-,18.500,4.300
89,Torino,Italy,2.500,-,-,-,-,2.500,18.056
90,Legia Warszawa,Poland,2.500,2.500,4.000,-,9.000,18.000,5.075
91,Maccabi Haifa,Israel,1.500,2.500,3.000,6.000,5.000,18.000,6.225
92,Osasuna,Spain,-,-,-,-,2.500,2.500,17.897
93,Granada,Spain,-,13.000,-,-,-,13.000,17.897
94,Valencia,Spain,17.000,-,-,-,-,17.000,17.897
95,Getafe,Spain,11.000,-,-,-,-,11.000,17.897
96,Espanyol,Spain,10.000,-,-,-,-,10.000,17.897
97,Köln,Germany,-,-,-,6.000,-,6.000,17.324
98,Hoffenheim,Germany,-,12.000,-,-,-,12.000,17.324
99,H. Beer Sheva,Israel,2.500,4.000,2.500,6.000,2.000,17.000,6.225
100,Nice,France,-,3.000,-,14.000,-,17.000,13.366
