Paraguay;PRY;6780744
West Bank and Gaza;PSE;5043612
Pacific island small states;PSS;2639019
Post-demographic dividend;PST;1114354147
French Polynesia;PYF;306279
Qatar;QAT;2695122
Romania;ROU;19047009
Russian Federation;RUS;144236933
Rwanda;RWA;13776698
South Asia;SAS;1919348000
Saudi Arabia;SAU;36408820
Sudan;SDN;46874204
Senegal;SEN;17316449
Singapore;SGP;5637022
Solomon Islands;SLB;724273
Sierra Leone;SLE;8605718
El Salvador;SLV;6336392
San Marino;SMR;33660
Somalia;SOM;17597511
Serbia;SRB;6664449
Sub-Saharan Africa (excluding high income);SSA;1211070124
South Sudan;SSD;10913164
Sub-Saharan Africa;SSF;1211190002
Small states;SST;19881389
Sao Tome and Principe;STP;227380
Suriname;SUR;618040
Slovak Republic;SVK;5431752
Slovenia;SVN;2111986
Sweden;SWE;10486941
Eswatini;SWZ;1201670
Sint Maarten (Dutch part);SXM;40888
Seychelles;SYC;119878
Syrian Arab Republic;SYR;22125249
Turks and Caicos Islands;TCA;45703
Chad;TCD;17723315
East Asia & Pacific (IDA & IBRD countries);TEA;2103055378
Europe & Central Asia (IDA & IBRD countries);TEC;457342249
Togo;TGO;8848699
Thailand;THA;71697030
Tajikistan;TJK;9952787
Turkmenistan;TKM;6430770
Latin America & the Caribbean (IDA & IBRD countries);TLA;643884393
Timor-Leste;TLS;1341296
Middle East & North Africa (IDA & IBRD countries);TMN;419284769
Tonga;TON;106858
South Asia (IDA & IBRD);TSA;1919348000
Sub-Saharan Africa (IDA & IBRD countries);TSS;1211190002
Trinidad and Tobago;TTO;1531044
Tunisia;TUN;12356117
Turkiye;TUR;84979913
Tuvalu;TUV;11312
Tanzania;TZA;65497748
Uganda;UGA;47249585
Ukraine;UKR;38000000
Upper middle income;UMC;2803249752
Uruguay;URY;3422794
United States;USA;333271411
Uzbekistan;UZB;35648100
St. Vincent and the Grenadines;VCT;103948
Venezuela; RB;28199867
British Virgin Islands;VGB;31305
Virgin Islands (U.S.);VIR;105413
Viet Nam;VNM;98186856
Vanuatu;VUT;326740
World;WLD;7951595433
Samoa;WSM;222382
Kosovo;XKX;1768086
Yemen; YEM;32981641
South Africa;ZAF;59893885
Zambia;ZMB;20017675
Zimbabwe;ZWE;16320537
