pk-d--flex,pk-identifier,pk-identifier (2),ag-cell-value,ag-cell-value (2),ag-cell-value (3),ag-cell-value (4),ag-cell-value (5),ag-cell-value (6),ag-cell-value (7)
1,Real Madrid,Spain,19.000,30.000,32.000,26.000,35.000,142.000,19.542
2,Barcelona,Spain,27.000,33.000,30.000,24.000,24.000,138.000,19.542
3,Bayern München,Germany,27.000,21.000,30.000,33.000,27.000,138.000,16.328
4,Chelsea,England,19.000,23.000,30.000,27.000,25.000,124.000,16.949
5,Benfica,Portugal,19.000,22.000,21.000,26.000,29.000,117.000,12.459
6,Man Utd,England,25.000,33.000,13.000,18.000,23.000,112.000,16.949
7,Atleti,Spain,21.000,6.000,30.000,10.000,33.000,100.000,19.542
8,Valencia,Spain,16.000,18.000,21.000,19.000,22.000,96.000,19.542
9,Arsenal,England,22.000,19.000,19.000,18.000,18.000,96.000,16.949
10,Porto,Portugal,19.000,28.000,10.000,20.000,16.000,93.000,12.459
12,Lyon,France,25.000,17.000,17.000,12.000,15.000,86.000,11.300
11,Milan,Italy,16.000,16.000,20.000,17.000,16.000,85.000,13.387
13,Inter,Italy,31.000,19.000,18.000,14.000,-,82.000,13.387
14,Schalke,Germany,-,27.000,17.000,19.000,16.000,79.000,16.328
18,Shakhtar,Ukraine,10.000,24.000,8.000,17.000,11.000,70.000,8.193
17,Paris,France,-,12.000,7.000,25.000,25.000,69.000,11.300
20,Basel,Switzerland,6.000,9.000,19.000,16.000,19.000,69.000,6.645
16,Juventus,Italy,15.000,6.000,-,23.000,23.000,67.000,13.387
15,B. Dortmund,Germany,-,7.000,7.000,30.000,22.000,66.000,16.328
21,Zenit,Russia,1.500,16.000,18.000,13.000,16.000,64.500,9.399
27,Olympiacos,Greece,16.000,1.000,16.000,10.000,18.000,61.000,6.720
26,Rubin,Russia,13.000,10.000,8.000,18.000,11.000,60.000,9.399
19,Tottenham,England,-,21.000,7.000,16.000,15.000,59.000,16.949
25,Marseille,France,14.000,18.000,19.000,4.000,4.000,59.000,11.300
28,CSKA Moskva,Russia,20.000,14.000,16.000,1.500,6.000,57.500,9.399
22,Man City,England,-,13.000,17.000,7.000,19.000,56.000,16.949
29,PSV,Netherlands,12.000,18.000,16.000,5.000,5.000,56.000,8.862
24,Leverkusen,Germany,-,13.000,16.000,9.000,16.000,54.000,16.328
30,Ajax,Netherlands,9.000,13.000,12.000,9.000,10.000,53.000,8.862
23,Sevilla,Spain,19.000,9.000,1.500,-,22.000,51.500,19.542
36,Galatasaray,Türkiye,10.000,1.500,-,22.000,15.000,48.500,6.840
31,Napoli,Italy,-,7.000,19.000,6.000,16.000,48.000,13.387
34,Dynamo Kyiv,Ukraine,8.000,17.000,6.000,9.000,8.000,48.000,8.193
35,AZ Alkmaar,Netherlands,8.000,5.000,16.000,1.500,16.000,46.500,8.862
33,Sporting CP,Portugal,12.000,10.000,20.000,4.000,-,46.000,12.459
44,Anderlecht,Belgium,13.000,5.000,12.000,8.000,5.000,43.000,7.260
